season,score_away,score_home,ppg_away,papg_away,ppg_home,papg_home,first_downs_away,first_downs_away_allowed,first_downs_home,first_downs_home_allowed,first_downs_from_passing_away,first_downs_from_passing_away_allowed,first_downs_from_passing_home,first_downs_from_passing_home_allowed,first_downs_from_rushing_away,first_downs_from_rushing_away_allowed,first_downs_from_rushing_home,first_downs_from_rushing_home_allowed,first_downs_from_penalty_away,first_downs_from_penalty_away_allowed,first_downs_from_penalty_home,first_downs_from_penalty_home_allowed,third_down_comp_away,third_down_comp_away_allowed,third_down_att_away,third_down_att_away_allowed,third_down_comp_home,third_down_comp_home_allowed,third_down_att_home,third_down_att_home_allowed,fourth_down_comp_away,fourth_down_comp_away_allowed,fourth_down_att_away,fourth_down_att_away_allowed,fourth_down_comp_home,fourth_down_comp_home_allowed,fourth_down_att_home,fourth_down_att_home_allowed,plays_away,plays_away_allowed,plays_home,plays_home_allowed,drives_away,drives_away_allowed,drives_home,drives_home_allowed,yards_away,yards_away_allowed,yards_home,yards_home_allowed,pass_comp_away,pass_comp_away_allowed,pass_att_away,pass_att_away_allowed,pass_yards_away,pass_yards_away_allowed,pass_comp_home,pass_comp_home_allowed,pass_att_home,pass_att_home_allowed,pass_yards_home,pass_yards_home_allowed,sacks_num_away,sacks_num_away_allowed,sacks_yards_away,sacks_yards_away_allowed,sacks_num_home,sacks_num_home_allowed,sacks_yards_home,sacks_yards_home_allowed,rush_att_away,rush_att_away_allowed,rush_yards_away,rush_yards_away_allowed,rush_att_home,rush_att_home_allowed,rush_yards_home,rush_yards_home_allowed,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,fumbles_away,fumbles_away_recovered,fumbles_home,fumbles_home_recovered,interceptions_away,interceptions_away_received,interceptions_home,interceptions_home_received,possession_away,possession_home
2002,20,35,37.0,34.0,26.0,20.0,29.0,22.0,21.0,19.0,15.0,9.0,13.0,12.0,12.0,13.0,6.0,5.0,2.0,0.0,2.0,2.0,8.0,4.0,15.0,8.0,10.0,7.0,20.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,71.0,57.0,78.0,77.0,17.0,15.0,4.0,4.0,454.0,374.0,368.0,333.0,25.0,15.0,36.0,23.0,273.0,194.0,24.0,28.0,42.0,53.0,250.0,261.0,2.0,4.0,11.0,15.0,2.0,3.0,10.0,17.0,33.0,30.0,181.0,180.0,34.0,21.0,118.0,72.0,3.0,15.0,5.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2330.0,2441.0
2002,25,0,20.0,26.0,7.0,10.0,19.0,21.0,15.0,15.0,12.0,13.0,10.0,7.0,5.0,6.0,5.0,6.0,2.0,2.0,0.0,2.0,7.0,10.0,19.0,20.0,5.0,5.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,78.0,55.0,57.0,4.0,4.0,13.0,12.0,333.0,368.0,289.0,265.0,28.0,24.0,53.0,42.0,261.0,250.0,20.0,12.0,34.0,19.0,212.0,120.0,3.0,2.0,17.0,10.0,2.0,2.0,6.0,16.0,21.0,34.0,72.0,118.0,19.0,36.0,77.0,145.0,8.0,85.0,6.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1889.0,1569.0
2002,7,31,21.0,49.0,10.0,7.0,15.0,27.0,15.0,15.0,10.0,15.0,7.0,10.0,4.0,11.0,6.0,5.0,1.0,1.0,2.0,0.0,7.0,6.0,14.0,12.0,5.0,5.0,14.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0,68.0,57.0,55.0,18.0,16.0,12.0,13.0,257.0,389.0,265.0,289.0,17.0,18.0,36.0,27.0,206.0,207.0,12.0,20.0,19.0,34.0,120.0,212.0,3.0,0.0,14.0,0.0,2.0,2.0,16.0,6.0,19.0,41.0,51.0,182.0,36.0,19.0,145.0,77.0,6.0,68.0,6.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1536.0,2031.0
2002,23,16,25.0,28.0,40.0,39.0,19.0,18.0,24.0,24.0,11.0,13.0,12.0,19.0,8.0,5.0,10.0,2.0,0.0,0.0,2.0,3.0,8.0,9.0,16.0,14.0,5.0,4.0,11.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,69.0,60.0,59.0,61.0,16.0,17.0,20.0,17.0,343.0,307.0,470.0,411.0,22.0,19.0,36.0,31.0,225.0,203.0,20.0,28.0,29.0,40.0,276.0,352.0,1.0,1.0,3.0,8.0,0.0,1.0,0.0,7.0,32.0,28.0,118.0,104.0,30.0,20.0,194.0,59.0,5.0,40.0,9.0,87.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1953.0,1816.0
2002,44,7,30.0,14.0,37.0,31.0,20.0,20.0,18.0,26.0,14.0,11.0,11.0,13.0,2.0,7.0,4.0,8.0,4.0,2.0,3.0,5.0,5.0,4.0,13.0,14.0,2.0,7.0,8.0,17.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,63.0,67.0,47.0,75.0,14.0,19.0,17.0,18.0,343.0,283.0,266.0,384.0,29.0,25.0,43.0,38.0,280.0,209.0,24.0,26.0,30.0,39.0,193.0,242.0,2.0,5.0,14.0,38.0,3.0,4.0,17.0,29.0,18.0,24.0,63.0,74.0,14.0,32.0,73.0,142.0,7.0,88.0,10.0,90.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,1769.0,1266.0
2002,13,21,27.0,24.0,10.0,19.0,22.0,17.0,11.0,13.0,15.0,11.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,6.0,7.0,10.0,15.0,2.0,2.0,13.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,64.0,57.0,63.0,16.0,17.0,18.0,19.0,328.0,261.0,267.0,210.0,24.0,18.0,34.0,36.0,267.0,181.0,13.0,10.0,30.0,22.0,112.0,123.0,1.0,6.0,2.0,31.0,3.0,6.0,19.0,22.0,25.0,22.0,61.0,80.0,24.0,35.0,155.0,87.0,6.0,50.0,9.0,117.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1848.0,1565.0
2002,7,20,6.0,34.0,39.0,40.0,13.0,27.0,24.0,24.0,8.0,9.0,19.0,12.0,2.0,16.0,2.0,10.0,3.0,2.0,3.0,2.0,4.0,6.0,11.0,10.0,4.0,5.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,65.0,61.0,59.0,15.0,11.0,17.0,20.0,203.0,401.0,411.0,470.0,18.0,15.0,31.0,19.0,167.0,160.0,28.0,20.0,40.0,29.0,352.0,276.0,4.0,1.0,31.0,0.0,1.0,0.0,7.0,0.0,13.0,45.0,36.0,241.0,20.0,30.0,59.0,194.0,9.0,57.0,4.0,38.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1332.0,1784.0
2002,14,13,27.0,23.0,34.0,37.0,20.0,19.0,22.0,29.0,12.0,9.0,9.0,15.0,6.0,9.0,13.0,12.0,2.0,1.0,0.0,2.0,7.0,5.0,13.0,13.0,4.0,8.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.0,62.0,57.0,71.0,17.0,17.0,15.0,17.0,368.0,368.0,374.0,454.0,20.0,16.0,33.0,28.0,288.0,228.0,15.0,25.0,23.0,36.0,194.0,273.0,1.0,1.0,9.0,6.0,4.0,2.0,15.0,11.0,26.0,33.0,80.0,140.0,30.0,33.0,180.0,181.0,4.0,33.0,4.0,82.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1709.0,1855.0
2002,21,13,49.0,21.0,28.0,25.0,27.0,15.0,18.0,19.0,15.0,10.0,13.0,11.0,11.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,6.0,7.0,12.0,14.0,9.0,8.0,14.0,16.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,68.0,58.0,60.0,69.0,16.0,18.0,17.0,16.0,389.0,257.0,307.0,343.0,18.0,17.0,27.0,36.0,207.0,206.0,19.0,22.0,31.0,36.0,203.0,225.0,0.0,3.0,0.0,14.0,1.0,1.0,8.0,3.0,41.0,19.0,182.0,51.0,28.0,32.0,104.0,118.0,4.0,54.0,2.0,14.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2064.0,1647.0
2002,26,21,13.0,16.0,16.0,23.0,21.0,13.0,15.0,18.0,17.0,7.0,10.0,10.0,2.0,5.0,3.0,5.0,2.0,1.0,2.0,3.0,9.0,4.0,16.0,12.0,3.0,2.0,12.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,70.0,51.0,57.0,57.0,15.0,13.0,5.0,2.0,361.0,279.0,327.0,291.0,28.0,16.0,45.0,26.0,318.0,166.0,32.0,18.0,41.0,27.0,295.0,187.0,3.0,0.0,24.0,0.0,3.0,4.0,20.0,15.0,22.0,25.0,43.0,113.0,13.0,26.0,32.0,104.0,10.0,80.0,6.0,44.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1948.0,1906.0
